Title,Genre
Indiana Jones And The Last Crusade,"Action, Adventure Artifact Hunt"
Batman,"Action, Superhero Crime"
The Little Mermaid,"Animation, Family Musical"
Home Alone,"Comedy, Family Slapstick"
Terminator 2: Judgment Day,"Sci-Fi, Action Cyberpunk"
Beauty And The Beast,"Animation, Family Romance"
Batman Returns,"Action, Superhero Gothic Dark"
Home Alone 2: Lost In New York,"Comedy, Family Holiday"
Aladdin,"Animation, Family Musical Fantasy"
Jurassic Park,"Sci-Fi, Adventure Thriller"
Schindler'S List,"Drama, Biography Historical"
Fantastic Four,"Action, Superhero Sci-Fi"
The Return Of Jafar,"Animation, Family Fantasy Adventure"
The Lion King,"Animation, Family Musical Drama"
Forrest Gump,"Drama, Romance Comedy"
The Mask,"Comedy, Fantasy Superhero"
Batman Forever,"Action, Superhero Pop Comic"
Pocahontas,"Animation, Family Historical Drama"
Se7En,"Crime, Mystery Psychological Thriller"
Ghost In The Shell,"Animation, Sci-Fi Cyberpunk Noir"
Toy Story,"Animation, Family Comedy Adventure"
Mission: Impossible,"Action, Spy Thriller Mystery"
The Hunchback Of Notre Dame,"Animation, Family Drama Gothic"
Aladdin And The King Of Thieves,"Animation, Family Adventure Musical"
Scream,"Horror, Slasher Mystery Comedy"
The Lost World: Jurassic Park,"Sci-Fi, Action Adventure Thriller"
Border,"Action, War Drama Patriotic"
Batman & Robin,"Action, Superhero Camp Comedy"
Hercules,"Animation, Family Musical Comedy"
Bean,"Comedy, Slapstick Farce"
Beauty And The Beast: The Enchanted Christmas,"Animation, Family Holiday Musical"
Anastasia,"Animation, Family Adventure Musical"
Home Alone 3,"Comedy, Family Slapstick"
Scream 2,"Horror, Slasher Mystery Self-Aware"
Titanic,"Drama, Romance Epic Disaster"
Mulan,"Animation, Family Action War"
Rush Hour,"Action, Buddy Comedy Martial Arts"
Kuch Kuch Hota Hai,"Drama, Bollywood Romance Musical"
The Lion King Ii: Simba'S Pride,"Animation, Family Drama Musical"
A Bug'S Life,"Animation, Family Comedy Adventure"
The Prince Of Egypt,"Animation, Drama Biblical Musical"
The Mummy,"Action, Adventure Horror Fantasy"
Shaheed-E-Mohabbat Boota Singh,"Drama, Punjabi Partition History"
Star Wars: Episode I - The Phantom Menace,"Sci-Fi, Space Opera Franchise"
Tarzan,"Animation, Family Jungle Adventure"
Toy Story 2,"Animation, Family Comedy Sequel"
Scream 3,"Horror, Slasher Whodunit Mystery"
One Piece The Movie,"Anime, Shonen Action Pirate"
Final Destination,"Horror, Supernatural Gore Thriller"
The Road To El Dorado,"Animation, Family Adventure Buddy Comedy"
Gladiator,"Action, Historical Drama Revenge"
Mission: Impossible 2,"Action, Spy Thriller Romance"
X-Men,"Action, Superhero Sci-Fi Mutant"
Mission Kashmir,"Action, Drama Political Crime"
The Little Mermaid Ii: Return To The Sea,"Animation, Family Sequel Fantasy"
One Piece Clockwork Island Adventure,"Anime, Shonen Action Fantasy"
The Mummy Returns,"Action, Adventure Supernatural Horror"
Shrek,"Animation, Family Fantasy Comedy Fairy Tale"
Atlantis: The Lost Empire,"Animation, Family Sci-Fi Exploration"
Lagaan,"Drama, Bollywood Sports Period Piece"
The Fast And The Furious,"Action, Street Racing Undercover Crime"
Jurassic Park Iii,"Sci-Fi, Action Adventure Thriller"
Spirited Away,"Anime, Fantasy Supernatural Coming-Of-Age"
Rush Hour 2,"Action, Buddy Comedy Martial Arts"
Nayak: The Real Hero,"Drama, Political Action Social Thriller"
Monsters Inc,"Animation, Family Comedy Fantasy"
Harry Potter And The Philosopher'S Stone,"Fantasy, Family Adventure Magic"
Kabhi Khushi Kabhi Gham,"Drama, Bollywood Family Romance Musical"
The Lord Of The Rings: The Fellowship Of The Ring,"Fantasy, Epic Adventure High-Fantasy"
One Piece Choppers Kingdome On The Island Of Steange Animals,"Anime, Shonen Action Animal-Island"
Ice Age,"Animation, Family Prehistoric Adventure Comedy"
The Hunchback Of Notre Dame Ii,"Animation, Family Romance Musical"
Spider-Man,"Action, Superhero Origin Sci-Fi"
Star Wars: Episode Ii - Attack Of The Clones,"Sci-Fi, Space Opera Romance Action"
The Legend Of Bhagat Singh,"Drama, Biographical History Patriotic"
23Rd March 1931: Shaheed,"Drama, Biographical Historical Revolutionary"
Lilo & Stitch,"Animation, Family Sci-Fi Comedy Alien"
Harry Potter And The Chamber Of Secrets,"Fantasy, Family Mystery Adventure"
The Lord Of The Rings: The Two Towers,"Fantasy, Epic War High-Fantasy"
One Piece Dead Ends Adventure,"Anime, Shonen Action Race-Adventure"
Final Destination 2,"Horror, Supernatural Slasher Disaster"
Johnny English,"Comedy, Spy Parody Satire Action"
X2,"Action, Superhero Mutant Sci-Fi Sequel"
Finding Nemo,"Animation, Family Ocean Adventure Comedy"
2 Fast 2 Furious,"Action, Street Racing Crime Buddy"
Terminator 3: Rise Of The Machines,"Sci-Fi, Action Apocalyptic Thriller"
Pirates Of The Caribbean: The Curse Of The Black Pearl,"Action, Fantasy Pirate Swashbuckler"
Koi Mil Gaya,"Sci-Fi, Bollywood Alien Drama Coming-Of-Age"
Star Wars: Clone Wars,"Animation, Sci-Fi Space Opera Military"
The Last Samurai,"Action, Historical Drama War Culture-Clash"
Loc Kargil,"Action, War History Drama Patriotic"
The Lord Of The Rings: The Return Of The King,"Fantasy, Epic War High-Fantasy Conclusion"
Munna Bhai Mbbs,"Comedy, Bollywood Drama Medical-Satire Romance"
Mulan Ii,"Animation, Family Comedy Musical Romance"
The Lion King 1½,"Animation, Family Comedy Parody Self-Referential"
One Piece The Cursed Holy Sword,"Anime, Shonen Action Samurai-Fantasy"
Masti,"Comedy, Bollywood Adult-Comedy Mystery Crimes"
Netaji Subhas Chandra Bose: The Forgotten Hero,"Drama, Biographical History War War-Epic"
Shrek 2,"Animation, Family Fantasy Comedy Romance"
Harry Potter And The Prisoner Of Azkaban,"Fantasy, Family Mystery Coming-Of-Age Dark"
Lakshya,"Drama, Bollywood Coming-Of-Age War Military"
Spider-Man 2,"Action, Superhero Drama Identity-Crisis"
Taarzan: The Wonder Car,"Action, Bollywood Supernatural Thriller Car-Action"
Naruto Ninja Clash In The Land Of Snow,"Anime, Shonen Action Movie Ninja"
Dhoom,"Action, Bollywood Bike-Racing Crime Heist Thriller"
The Incredibles,"Animation, Family Superhero Retro Action-Comedy"
Howls Moving Castle,"Anime, Fantasy Romance Anti-War Magic"
Swades,"Drama, Bollywood Social-Issue Patriotic Nostalgia"
Ab Tumhare Hawale Watan Sathiyo,"Action, War History Drama Patriotic-Epic"
One Piece Baron Omatsuri And The Secret Island,"Anime, Shonen Dark-Fantasy Survival Mystery"
Tango Charlie,"Action, War Anti-Terrorist Military Drama"
Kya Kool Hain Hum,"Comedy, Bollywood Adult-Comedy Sex-Farce Satire"
Star Wars: Episode Iii - Revenge Of The Sith,"Sci-Fi, Space Opera Tragedy Dark-Fantasy"
Madagascar,"Animation, Family Zoo Adventure Buddy Comedy"
Batman Begins,"Action, Superhero Crime Noir Origin Gritty"
Fantastic Four,"Action, Superhero Sci-Fi"
Charlie And The Chocolate Factory,"Fantasy, Family Quirky Musical Comedy Dark"
Fullmetal Alchemist Conqueror Of Shamballa,"Anime, Fantasy Alternate-History Steampunk Drama"
Naruto Legend Of The Stone Of Gelel,"Anime, Shonen Action Fantasy Artifact-Hunt"
Mangal Pandey: The Rising,"Drama, Biographical Historical War Rebellion"
No Entry,"Comedy, Bollywood Marital Farce Romance Mistakes"
Lilo & Stitch 2: Stitch Has A Glitch,"Animation, Family Sci-Fi Comedy Emotional"
Earthlings,"Documentary, Social-Issue Animal-Rights Exposé Narrative"
The Madagascar Penguins In A Christmas Caper,"Animation, Family Holiday Comedy Short"
Garam Masala,"Comedy, Bollywood Slapstick Romance Infidelity-Farce"
Zathura A Space Adventure,"Sci-Fi, Family Boardgame Adventure Fantasy"
Harry Potter And The Goblet Of Fire,"Fantasy, Family Dark tournament Survival Coming-Of-Age"
"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe","Fantasy, Family Epic High-Fantasy Magic Portal"
King Kong,"Action, Monster Adventure Tragic Romance Period-Piece"
High School Musical,"Drama, Family Coming-Of-Age Musical Romance"
Rang De Basanti,"Drama, Bollywood Political Crime Awakening History-Parallel"
Final Destination 3,"Horror, Supernatural Gore Rollercoaster-Disaster Slasher"
One Piece The Giant Mechanical Soldier Of Karakuri Castle,"Anime, Shonen Action Mecha Island Puzzle"
",300","Action, Historical Fantasy Graphic-Novel Battle Epic"
V For Vendetta,"Action, Dystopian Thriller Political Revolution Rebellion"
Ice Age: The Meltdown,"Animation, Family Prehistoric Global-Warming Survival Comedy"
Mission: Impossible Iii,"Action, Spy Thriller Suspense High-Stakes Mystery"
X-Men: The Last Stand,"Action, Superhero Mutant War Sci-Fi Identity-Conflict"
Surf School,"Comedy, Teen Sports Raunchy Raunchy-Comedy Beach"
Cars,"Animation, Family Racing Sports Coming-Of-Age Small-Town"
The Fast And The Furious: Tokyo Drift,"Action, Drifting Underground Culture Underdog Racing"
Krrish,"Action, Bollywood Superhero Sci-Fi Romance Origin Sequel"
Pirates Of The Caribbean: Dead Man'S Chest,"Action, Fantasy Supernatural Pirate Curse Swashbuckler"
Golmaal: Fun Unlimited,"Comedy, Bollywood Slapstick Con-Artist Friend Group Mistakes"
The Girl Who Leapt Through Time,"Anime, Sci-Fi Time-Travel Romance High-School Life-Slice"
Naruto Guardians Of The Crescent Moon Kingdom,"Anime, Shonen Action Island Animal Guarding-Mission"
Lage Raho Munna Bhai,"Comedy, Bollywood Drama Social-Issue Gandhism Non-Violence"
Taxi No 9211,"Drama, Bollywood Psychological Thriller Road-Rage Class-Conflict Comedy"
Casino Royale,"Action, Spy Thriller Gritty Origin Poker-Game"
Dhoom 2,"Action, Bollywood Stylized Heist Spy Crime Thriller Romance"
Paprika,"Anime, Sci-Fi Psychological Surreal Mind-Bender Cyberpunk"
Kabul Express,"Drama, War Post-9/11 Docu-Fiction Taliban Journalism Thriller"
Bleach Memories Of Nobody,"Anime, Shonen Action Soul-Reaper Dimension-Crisis"
Night At The Museum,"Comedy, Family Fantasy History Coming-To-Life Museum"
Bhagam Bhag,"Comedy, Bollywood Murder-Mystery Theater-Group Chaos Misunderstandings"
Ghost Rider,"Action, Superhero Supernatural Occult Anti-Hero Biker"
One Piece Arabasta The Desert Princess And The Pirates,"Anime, Shonen Action Desert-Civil Rebellion War"
5 Cm Per Second,"Anime, Drama Romance Melancholy Long-Distance Life-Slice"
",1971","Drama, War POW Escape Political Indian-History Tension"
Namastey London,"Comedy, Bollywood Romance Culture-Clash Arranged-Marriage Drama"
Good Boy Bad Boy,"Comedy, Bollywood College Rivalry Switch Identity Mistakes"
Spider-Man 3,"Action, Superhero Symbiote Revenge Relationship-Drama Tragedy"
Shrek The Third,"Animation, Family Fantasy Comedy Royal-Succession Parody"
Shootout At Lokhandwala,"Action, Crime Gangster Real-Life-Encounter Police Biopic"
Pirates Of The Caribbean: At World'S End,"Action, Fantasy Pirate War Mythological Swashbuckler Epic"
Surf'S Up,"Animation, Family Sports Mockumentary Surfing Penguin Comedy"
Fantastic Four: Rise Of The Silver Surfer,"Action, Superhero Cosmic Threat Extraterrestrial Sci-Fi Adventure"
Chain Kulli Ki Main Kulli,"Comedy, Bollywood Fantasy Sports Magic-Bat Orphan Coming-Of-Age"
Ratatouille,"Animation, Family Culinary Comedy Paris Identity Drama"
Transformers,"Action, Sci-Fi Alien Robots Military Vehicle Action-Blockbuster"
Harry Potter And The Order Of The Phoenix,"Fantasy, Family Political Rebellion Magic Dark Secret-Society"
Naruto Shippuden Movie 1,"Anime, Shonen Action Prediction-Death Protection Spiritual Shadow-Army"
Rush Hour 3,"Action, Buddy Comedy Martial Arts Triad Triad-Conspiracy Paris"
Chak De! India,"Drama, Bollywood Sports Underdog Redemption Patriotism Women-Empowerment"
Death Note Relight Visions Of God,"Anime, Psychological Thriller Supernatural Detective Compilation Cat-And-Mouse"
Mr Bean'S Holiday,"Comedy, Slapstick Travel Farce French-Roadtrip Silent-Style"
Heyy Babyy,"Comedy, Bollywood Bachelors Baby-Care Mystery-Mother Romance Remake"
Death Note Relight 2 L Successor,"Anime, Psychological Thriller Supernatural Legacy Successor Battle-Of-Wits"
Dhamaal,"Comedy, Bollywood Road-Trip Treasure-Hunt Slapstick No-Hero Car-Chase"
Dhol,"Comedy, Bollywood Slapstick Mystery Crime-Conspiracy Rich-Girl Mistakes"
Bhool Bhulaiyaa,"Comedy, Bollywood Murder-Mystery Haunted-Mansion Remake Culture-Tradition"
Jab We Met,"Comedy, Bollywood Romance Road-Trip Contrasting-Personalities Coming-Of-Age Drama"
No Country For Old Men,"Crime, Thriller Neo-Western Cat-And-Mouse Hitman Fugitive"
Om Shanti Om,"Drama, Bollywood Reincarnation Masala Cinema-Industry Revenge Musical-Romance"
Welcome,"Comedy, Bollywood Don Gangster-Family Marriage-Farce Chaos Misunderstandings"
Taare Zameen Par,"Drama, Bollywood Child-Development Education Dyslexia Mental-Health Inspiring"
Bleach The Diamond Dust Rebellion,"Anime, Shonen Action Execution Dragon-Artifact Betrayal Team-Up"
One Piece Chopper Plus Bloom In Winter Miracle Cherry Blossom,"Anime, Shonen Action Remake Winter-Island Medical-Drama Adventure"
Race,"Crime, Thriller Bollywood Suspense Betrayal Horse-Racing High-Society Twist"
Shaurya,"Drama, Bollywood Courtroom-Military Justice Racism Honor Remake"
Iron Man,"Action, Superhero Origin High-Tech Weaponry Industrial Billionaire Avenger"
Bhoothnath,"Comedy, Bollywood Supernatural Friendly-Ghost Child-Fantasy Family Emotional"
The Chronicles Of Narnia: Prince Caspian,"Fantasy, Family War High-Fantasy Royal-Restoration Portal-Adventure"
Indiana Jones And The Kingdom Of The Crystal Skull,"Action, Adventure Sci-Fi Cold-War Alien Artifact-Hunt"
Kung Fu Panda,"Animation, Family Martial-Arts Animal Coming-Of-Age Underdog Chosen-One"
The Incredible Hulk,"Action, Superhero Sci-Fi Monster Fugitive Military-Chase Science-Experiment"
Wall-E,"Animation, Family Sci-Fi Dystopian Cyberpunk Romance Environmental Silent-Storytelling"
The Dark Knight,"Crime, Superhero Psychological Thriller Vigilante Terrorism Joker Anarchy"
Mission Istanbul,"Action, Bollywood Spy International Terrorism Media-Conspiracy Thriller Adventure"
The Mummy: Tomb Of The Dragon Emperor,"Action, Adventure Supernatural Terracotta-Army Fantasy China-Setting Thriller"
Naruto Shippuden The Movies Bond,"Anime, Shonen Action Sky-Ninja Enemy-Bonds Master-Student Relationship Destructive-Weapon"
Singh Is Kinng,"Comedy, Bollywood Gangster Masala Punjabi-Pride Village-To-City Romance Action"
Star Wars: The Clone Wars,"Animation, Sci-Fi Space Opera Galactic War Franchise Jedi-Padawan"
The Little Mermaid: Ariel'S Beginning,"Animation, Family Prequel Musical Underwater Ban-On-Music"
A Wednesday!,"Thriller, Bollywood Suspense Terrorism Common-Man Social-System Negotiation"
Golmaal Returns,"Comedy, Bollywood Marital Suspicion Infidelity-Farce Slapstick Sequel Misunderstandings"
Madagascar: Escape 2 Africa,"Animation, Family Safari Reunion African-Wild Identity-Search Comedy-Adventure"
Secrets Of The Furious Five,"Animation, Family Martial-Arts Prequel Backstory Backstory-Anthology Short"
Quantum Of Solace,"Action, Spy Revenge Eco-Terrorism Rogue-Agent Gritty"
Dostana,"Comedy, Bollywood Gay-Pretence Triangle-Romance Miami Fashion-Industry Friendship"
Bolt,"Animation, Family Road-Trip Television-Star Pet Identity-Realization Adventure-Comedy"
Rab Ne Bana Di Jodi,"Drama, Bollywood Romance Alter-Ego Ordinary-Man Matchmaking Transformation-Musical"
Bleach Fade To Black,"Anime, Shonen Action Amnesia Missing-Friend Soul-Society Discarded-Memories"
Chandni Chowk To China,"Action, Bollywood Martial-Arts Chop-Suey Identity-Mistake Reincarnation Slapstick-Comedy"
Watchmen,"Action, Superhero Alternate-History Cold-War Philosophical Graphic-Novel Mystery-Noir"
Fast & Furious,"Action, Street Racing Drug-Cartel Revenge Undercover-Reunion Vehicle-Heist"
X-Men Origins: Wolverine,"Action, Superhero Mutant Backstory Weapon-X Revenge Brother-Rivalry Sci-Fi"
Night At The Museum: Battle Of The Smithsonian,"Comedy, Family Fantasy Historical-Figures Escape Smithsonian Washington-DC"
Up,"Animation, Family Floating-House Jungle Wilderness Grief Coming-Of-Age Adventure-Drama"
Terminator Salvation,"Sci-Fi, Action Post-Apocalyptic War Machine-Resistance Future-Soldier Survival"
Transformers: Revenge Of The Fallen,"Action, Sci-Fi Alien-God Egyptian-Pyramids Robot-War Blockbuster Military"
Ice Age: Dawn Of The Dinosaurs,"Animation, Family Prehistoric Underground Dinosaur-World Rescue Evolution-Comedy"
Harry Potter And The Half-Blood Prince,"Fantasy, Family Dark-Lord Origins Teenage-Romance Poison Mystery Secret-Book"
Los Bandoleros,"Action, Short Prequel Fuel-Heist Dominican-Republic Street-Racing Origins"
Naruto Shippuden The Will Of Fire,"Anime, Shonen Action Ninja-War Self-Sacrifice Forbidden-Jutsu Inheritance Friendship-Rescue"
The Final Destination,"Horror, Supernatural Gore Racetrack-Disaster Premonition Slasher-Logic 3D-Gimmick"
Munde Uk De,"Comedy, Punjabi Regional British-Born-Indians Culture-Clash Romance Village-Traditions Drama"
Cloudy With A Chance Of Meatballs,"Animation, Family Sci-Fi Food-Weather Inventor Quirky-Comedy Father-Son"
Wanted,"Action, Bollywood Crime Gangster Undercover-Cop Single-Screen Masala Revenge"
All The Best: Fun Begins,"Comedy, Bollywood Car-Racing Marital-Farce Rich-Uncle Identity-Theft Slapstick-Chaos"
Merry Madagascar,"Animation, Family Holiday Santa-Amnesia Christmas-Saving Zoo-Animals Short"
The Princess And The Frog,"Animation, Family New-Orleans Jazz Voodoo Fairy-Tale Traditional-Style Musical"
Rocket Singh: Salesman Of The Year,"Drama, Bollywood Corporate-Ethics Startup Integrity Underdog-Salesman Corporate-Satire"
One Piece Strong World,"Anime, Shonen Action Floating-Islands Animal-Evolution Pirate-Pride Formal-Suits"
Avatar,"Sci-Fi, Action Extraterrestrial Alien-Culture Environmentalism Colonialism Mech-War-Epic"
The Gruffalo,"Animation, Family Children-Story Forest-Animals Monster-Myth Rhyming Short"
3 Idiots,"Comedy, Bollywood Engineering-College Hostel-Life Student-Suicide Social-Pressure Inspiring-Drama"
Chance Pe Dance,"Drama, Bollywood Dance-Competition Struggling-Actor Reality-TV Talent-Hunt Romance"
My Name Is Khan,"Drama, Bollywood Post-9/11 Discrimination Autism Presidential-Meeting Journey Tolerance"
Alice In Wonderland,"Animation, Family Adventure"
How To Train Your Dragon,"Animation, Family Viking Dragon-Riding Disability Underdog Bonding-Adventure"
Mel Karade Rabba,"Drama, Punjabi Regional College-Rivalry Arranged-Marriage Reform-Lover Romantic-Comedy"
Housefull,"Comedy, Bollywood Marital-Confusion Triple-Marriage Jinxed-Hero UK-Setting Slapstick-Chaos"
Iron Man 2,"Action, Superhero Rival-Industrialist Arc-Reactor Whiplash Monaco-Race Avenger-Setup"
Shrek Forever After,"Animation, Family Alternate-Universe Faustian-Bargain Midlife-Crisis Ogre-Rebellion Fantasy-Comedy"
Toy Story 3,"Animation, Family Daycare-Escape Toy-Abandonment Incinerator Passing-The-Torch Adventure-Drama"
I Hate Luv Storys,"Comedy, Bollywood Romance Anti-Romance Filmmaking Parody Opposites-Attract Musical-Drama"
Despicable Me,"Animation, Family Supervillain Adoption Moon-Heist Minion-Comedy Fatherhood"
Tere Bin Laden,"Comedy, Bollywood Satire Lookalike Fake-Video Journalism Fake-Terrorism Immigration-Farce"
Udaan,"Drama, Bollywood Coming-Of-Age Strict-Father Boarding-School Industrial-Town Writers-Dreams Indie"
Inception,"Sci-Fi, Action Dream-Heist Subconscious Matrix-Style Psychological Corporate-Espionage"
Khatta Meetha,"Comedy, Bollywood Political-Corruption Road-Construction Bureaucracy Satirical-Drama Family-Tragedy"
Naruto Shippuden The Movies The Lost Tower,"Anime, Shonen Action Time-Travel Puppet-Army Prequel-Encounter Chakra-Source"
Naruto The Magic Genie And The Three Wishes,"Anime, Shonen Short Comedy Beach-Barbecue Wish-Genie Parody-Special"
Once Upon A Time In Mumbaai,"Crime, Bollywood Retro-Gangster Smuggling Gold-Mafia Rise-And-Fall Period-Drama Drama"
Piranha 3D,"Horror, Gore Mutant-Fish Spring-Break Campy Exploitation Creature-Feature Thriller"
Dabangg,"Action, Bollywood Corrupt-Cop Robin-Hood Family-Feud Single-Screen Masala Village-Setting"
I Am Kalam,"Drama, Bollywood Underprivileged-Child Education A P J Abdul Kalam Inspiration Friendship Tribal-Palace"
Mitti,"Drama, Punjabi Regional Political-Exploitation Youth-Disillusionment Crime Village-Farming Gritty"
Megamind,"Animation, Family Supervillain Identity-Crisis Hero-Parody Metro-City Subversive-Comedy"
Golmaal 3,"Comedy, Bollywood Split-Family Step-Siblings Slapstick Dumb-Character Parody Rival-Gangs"
Harry Potter And The Deathly Hallows: Part 1,"Fantasy, Family Horcrux-Hunt Fugitive Forest-Camping Wizarding-World Dark-Isolation"
Kung Fu Panda Holiday,"Animation, Family Martial-Arts Winter-Feast Chef-Duty Parental-Love Holiday-Short"
Tangled,"Animation, Family Rapunzel-Retelling Magical-Hair Thief-Romance Lantern-Festival Musical-Adventure"
Bleach Hellverse,"Anime, Shonen Action Underworld-Chains Hollow-Transformation Sister-Rescue Sinner-Rebellion"
The Chronicles Of Narnia: The Voyage Of The Dawn Treader,"Fantasy, Family Sea-Voyage Magical-Islands Dragon-Curse Final-Portal High-Fantasy"
Band Baaja Baaraat,"Comedy, Bollywood Wedding-Planner Startup Partner-Romance Delhi-Culture Business-Rules Drama"
No Problem,"Comedy, Bollywood Bank-Heist Diamonds Identity-Mix-Up African-Safari Slapstick-Farce Chaos"
Toonpur Ka Superhero,"Animation, Bollywood Live-Action-Hybrid Comic-Book-World Family Saving-Cartoons Fantasy-Comedy"
Tees Maar Khan,"Comedy, Bollywood Con-Artist Train-Heist Village-Deception Film-Shoot Parody Slapstick-Farce"
No One Killed Jessica,"Drama, Bollywood Crime-Justice Real-Life-Murder Media-Activism Political-Apathy Investigative-Thriller"
Yamla Pagla Deewana,"Comedy, Bollywood Con-Artist Family-Reunion Punjabi-Pride Canadian-NRI Slapstick-Action"
Line Of Punjab,"Action, Punjabi Regional Village-Hero Vigilante Muscle-Action Local-Mafia Romance-Comedy"
Patiala House,"Drama, Bollywood Cricket Sports-Dream Traditional-Father British-Asian Identity Generational-Conflict"
Ghost Rider: Spirit Of Vengeance,"Action, Superhero Dark-Occult Demon-Possession European-Cult Action-Thriller Anti-Hero"
Megamind: The Button Of Doom,"Animation, Family Hero-Duties Giant-Robot Lair-Cleanup Short-Comedy Supervillain-Parody"
Swat Firefight,"Action, Crime Police-Tactics Hostage-Crisis Revenge-Vendetta Special-Forces Thriller"
One Piece 3D Straw Hate Chase,"Anime, Shonen Short 3D-CGI Straw-Hat Stolen Animal-Chase Action-Comedy"
Hop,"Animation, Family Live-Action-Hybrid Easter-Bunny Drummer-Dreams Hollywood-Adventure Comedy"
Faltu,"Comedy, Bollywood College-Startup Fake-University Academic-Misfits Social-Message Coming-Of-Age"
Thank You,"Comedy, Bollywood Marital-Cheating Private-Detective Friendship Extramarital-Farce Slapstick-Chaos"
Rio,"Animation, Family Rare-Macaw Brazil-Carnival Smuggler-Escape Flightless-Bird Musical-Comedy"
Scream 4,"Horror, Slasher Meta-Mystery Internet-Fame Reboot-Rules Whodunit Thriller"
Watanon Toh Door,"Drama, Punjabi Regional NRI-Disillusionment Foreign-Struggle Cultural-Roots Melodrama Patriotic"
Dharti,"Drama, Punjabi Regional Political-Dynasty Succession-War Corruption Student-Politics Suspense-Thriller"
Fast Five,"Action, Vault-Heist Rio-De-Janeiro Team-Assembling Car-Action Tactical-Police Franchise-Shift"
Thor,"Action, Superhero Norse-Mythology Asgard Banished-To-Earth Hammer Alien-Tech Avenger-Setup"
Children Who Chase Lost Voices,"Anime, Fantasy Mythological Underworld Journey-Of-Grief Fantasy-Adventure Coming-Of-Age Ghibli-Style"
Stanley Ka Dabba,"Drama, Bollywood School-Life Lunchbox-Mystery Cruel-Teacher Child-Labor Emotional Inspiring"
Pirates Of The Caribbean: On Stranger Tides,"Action, Fantasy Fountain-Of-Youth Zombies Mermaid Pirate-Swashbuckler Blackbeard"
Kung Fu Panda 2,"Animation, Family Martial-Arts Genocide-Backstory Fireworks-Cannon Inner-Peace China-Adventure Epic"
X-Men: First Class,"Action, Superhero Cold-War Origin Cuban-Missile-Crisis Mutant-Division Period-Sci-Fi Epic"
Green Lantern,"Action, Superhero Space-Police Ring-Weapon Extraterrestrial Alien-Threat Sci-Fi Origin"
Toy Story Toons: Hawaiian Vacation,"Animation, Family Bedroom-Vacation Toy-Setup Romance Short-Comedy"
Cars 2,"Animation, Family World-Grand-Prix Spy-Espionage Tow-Truck Jet-Action Global-Adventure Comedy"
Transformers: Dark Of The Moon,"Action, Sci-Fi Apollo-11 Moon-Conspiracy Chicago-Invasion Robot-War Action-Spectacle"
Fullmetal Alchemist Sacred Star Of Melos,"Anime, Fantasy Alchemy Forbidden-City Rebellion Blood-Magic Steampunk Adventure"
Chillar Party,"Comedy, Bollywood Children-Gangs Stray-Dog Politician-Rivalry Social-Message Kids-Adventure Inspiring"
